record,Bullied_on_school_property_in_past_12_months,Bullied_not_on_school_property_in_past_12_months,Cyber_bullied_in_past_12_months,Custom_Age,Sex,Physically_attacked,Physical_fighting,Felt_lonely,Close_friends,Other_students_kind_and_helpful,Parents_understand_problems,Were_underweight,Were_overweight,score
2125,0,0,0,15 years old,1,0 times,1 to 3 times,Never,3 or more,Always,Always,0,0,1
2126,1,1,1,15 years old,0,0 times,1 to 3 times,Always,1,Rarely,Never,0,0,102
2129,0,0,0,16 years old,1,0 times,0 times,Sometimes,2,Sometimes,Sometimes,0,0,7
2131,0,0,0,15 years old,1,0 times,1 to 3 times,Never,3 or more,Sometimes,Rarely,0,1,6
2132,0,0,0,15 years old,0,0 times,0 times,Rarely,3 or more,Sometimes,Never,0,0,7
2134,0,1,0,17 years old,1,4 or 5 times,4 to 7 times,Always,1,Sometimes,Never,0,0,47
2135,0,0,0,16 years old,0,0 times,0 times,Never,3 or more,Sometimes,Always,0,0,2
2138,0,0,0,14 years old,0,0 times,0 times,Always,0,Rarely,Never,0,0,12
2140,1,0,1,14 years old,1,0 times,0 times,Never,3 or more,Rarely,Rarely,0,1,64
2143,0,0,0,14 years old,0,0 times,0 times,Never,3 or more,Rarely,Most of the time,0,0,2
2145,1,1,1,14 years old,0,0 times,0 times,Sometimes,3 or more,Rarely,Most of the time,0,1,94
2146,0,0,1,14 years old,0,0 times,0 times,Most of the time,3 or more,Rarely,Rarely,0,0,37
2147,0,0,1,15 years old,0,0 times,0 times,Sometimes,3 or more,Rarely,Most of the time,0,0,34
2148,0,0,0,15 years old,1,0 times,0 times,Sometimes,2,Never,Rarely,0,1,10
2149,1,0,0,15 years old,0,0 times,0 times,Most of the time,2,Most of the time,Rarely,0,0,40
2150,0,0,0,16 years old,0,0 times,0 times,Sometimes,3 or more,Rarely,Never,0,0,7
2151,0,0,0,15 years old,1,0 times,0 times,Never,3 or more,Always,Never,0,0,4
2152,0,0,0,15 years old,1,2 or 3 times,1 to 3 times,Sometimes,3 or more,Rarely,Most of the time,0,0,7
2153,0,0,0,16 years old,0,0 times,0 times,Most of the time,3 or more,Always,Never,0,1,7
2154,0,0,0,15 years old,1,0 times,0 times,Most of the time,3 or more,Rarely,Rarely,0,1,7
2155,0,0,0,16 years old,0,1 time,0 times,Most of the time,3 or more,Most of the time,Rarely,0,0,10
2156,0,1,1,16 years old,0,0 times,0 times,Sometimes,2,Most of the time,Sometimes,0,1,68
2161,0,0,0,15 years old,1,0 times,0 times,Never,3 or more,Sometimes,Sometimes,0,0,4
2162,0,0,0,16 years old,1,0 times,0 times,Sometimes,2,Most of the time,Never,0,0,10
2163,0,0,1,15 years old,0,0 times,0 times,Always,3 or more,Sometimes,Never,0,1,40
2164,0,0,0,16 years old,0,0 times,0 times,Most of the time,3 or more,Always,Never,0,1,7
2165,0,0,0,15 years old,0,0 times,0 times,Sometimes,3 or more,Rarely,Never,0,0,7
2166,0,0,0,17 years old,0,0 times,0 times,Rarely,3 or more,Always,Always,0,0,1
2167,0,0,0,16 years old,0,0 times,0 times,Never,3 or more,Always,Most of the time,0,0,1
2168,0,1,0,17 years old,1,0 times,0 times,Rarely,3 or more,Most of the time,Sometimes,0,0,36
2169,0,0,0,16 years old,1,0 times,0 times,Never,3 or more,Always,Always,0,1,0
2170,0,0,0,16 years old,1,0 times,0 times,Never,3 or more,Most of the time,Always,0,0,3
2172,0,0,0,16 years old,1,0 times,1 to 3 times,Rarely,3 or more,Most of the time,Sometimes,0,0,7
2173,0,1,0,16 years old,0,2 or 3 times,0 times,Sometimes,3 or more,Most of the time,Never,0,0,41
2174,0,0,0,17 years old,0,0 times,0 times,Sometimes,3 or more,Most of the time,Sometimes,0,0,7
2175,0,0,0,17 years old,0,0 times,0 times,Sometimes,3 or more,Most of the time,Sometimes,0,0,7
2176,1,1,1,17 years old,0,0 times,0 times,Sometimes,3 or more,Sometimes,Always,0,0,94
2177,0,1,1,17 years old,1,0 times,0 times,Rarely,3 or more,Always,Sometimes,0,0,63
2178,0,0,0,17 years old,0,0 times,0 times,Rarely,3 or more,Always,Most of the time,0,0,2
2180,0,0,1,17 years old,1,0 times,0 times,Rarely,3 or more,Most of the time,Always,0,0,34
2181,0,0,0,17 years old,0,0 times,0 times,Rarely,3 or more,Always,Most of the time,0,0,2
2182,0,1,0,17 years old,0,0 times,0 times,Sometimes,3 or more,Always,Most of the time,0,0,33
2185,0,0,0,16 years old,0,0 times,0 times,Never,3 or more,Always,Always,0,0,0
2186,0,0,1,17 years old,0,0 times,0 times,Most of the time,3 or more,Sometimes,Rarely,0,1,38
2187,0,1,0,16 years old,0,0 times,0 times,Rarely,3 or more,Always,Most of the time,0,1,32
2188,0,0,0,16 years old,0,0 times,0 times,Sometimes,3 or more,Most of the time,Sometimes,0,0,7
2189,0,0,0,16 years old,0,0 times,0 times,Sometimes,3 or more,Sometimes,Rarely,0,0,7
2190,0,0,0,17 years old,1,0 times,0 times,Never,3 or more,Most of the time,Rarely,0,0,6
2192,1,0,1,16 years old,0,0 times,0 times,Rarely,2,Most of the time,Sometimes,0,0,67
2193,0,0,0,16 years old,0,0 times,0 times,Rarely,2,Sometimes,Rarely,0,0,7
2200,0,0,0,13 years old,1,1 time,0 times,Never,1,Most of the time,Always,0,1,6
2205,1,0,0,13 years old,0,0 times,0 times,Rarely,3 or more,Sometimes,Never,0,0,37
2206,0,0,0,14 years old,0,0 times,0 times,Never,3 or more,Most of the time,Always,0,0,3
2209,0,0,0,13 years old,0,0 times,0 times,Rarely,3 or more,Most of the time,Sometimes,0,0,6
2210,0,0,0,16 years old,1,0 times,1 to 3 times,Never,3 or more,Never,Sometimes,0,0,7
2213,1,1,1,15 years old,1,2 or 3 times,4 to 7 times,Always,2,Sometimes,Never,0,1,105
2214,1,1,0,14 years old,0,2 or 3 times,1 to 3 times,Sometimes,3 or more,Rarely,Rarely,0,0,69
2215,1,1,1,15 years old,0,0 times,1 to 3 times,Sometimes,2,Sometimes,Sometimes,0,0,98
2216,0,1,1,16 years old,1,2 or 3 times,1 to 3 times,Most of the time,2,Rarely,Rarely,0,0,71
2218,0,0,1,14 years old,1,1 time,1 to 3 times,Rarely,3 or more,Rarely,Most of the time,0,1,35
2219,0,0,0,16 years old,1,0 times,0 times,Sometimes,3 or more,Always,Never,0,1,6
2222,1,0,0,14 years old,0,0 times,12 or more times,Always,0,Sometimes,Never,0,0,47
2224,0,0,0,14 years old,1,0 times,1 to 3 times,Rarely,2,Sometimes,Most of the time,0,1,6
2225,0,0,0,16 years old,0,1 time,1 to 3 times,Sometimes,3 or more,Most of the time,Sometimes,0,0,9
2227,0,0,0,16 years old,1,0 times,0 times,Sometimes,3 or more,Most of the time,Always,0,0,5
2228,0,0,0,15 years old,0,0 times,0 times,Never,3 or more,Sometimes,Sometimes,1,0,4
